SC002,T001,2026-03-19,09:00,18:00
SC0093,T001,2026-04-01,09:00,18:00,WORK
SC0094,T002,2026-04-01,09:00,18:00,WORK
SC0095,T003,2026-04-01,09:00,18:00,WORK
SC0096,T004,2026-04-02,09:00,18:00,WORK
SC0097,T001,2026-04-02,09:00,18:00,WORK
SC0098,T002,2026-04-02,09:00,18:00,WORK
SC0099,T003,2026-04-03,09:00,18:00,WORK
SC0100,T004,2026-04-03,09:00,18:00,WORK
SC0101,T001,2026-04-03,09:00,18:00,WORK
SC0102,T002,2026-04-04,09:00,18:00,WORK
SC0103,T003,2026-04-04,09:00,18:00,WORK
SC0104,T004,2026-04-04,09:00,18:00,WORK
SC0105,T001,2026-04-05,09:00,18:00,WORK
SC0106,T002,2026-04-05,09:00,18:00,WORK
SC0107,T003,2026-04-05,09:00,18:00,WORK
SC0108,T001,2026-04-06,09:00,18:00,WORK
SC0109,T002,2026-04-06,09:00,18:00,WORK
SC0110,T003,2026-04-06,09:00,18:00,WORK
SC0111,T004,2026-04-07,09:00,18:00,WORK
SC0112,T001,2026-04-07,09:00,18:00,WORK
SC0113,T002,2026-04-07,09:00,18:00,WORK
SC0114,T003,2026-04-08,09:00,18:00,WORK
SC0115,T004,2026-04-08,09:00,18:00,WORK
SC0116,T001,2026-04-08,09:00,18:00,WORK
SC0117,T002,2026-04-09,09:00,18:00,WORK
SC0118,T003,2026-04-09,09:00,18:00,WORK
SC0119,T004,2026-04-09,09:00,18:00,WORK
SC0120,T001,2026-04-10,09:00,18:00,WORK
SC0121,T002,2026-04-10,09:00,18:00,WORK
SC0122,T003,2026-04-10,09:00,18:00,WORK
SC0123,T004,2026-04-11,09:00,18:00,WORK
SC0124,T001,2026-04-11,09:00,18:00,WORK
SC0125,T002,2026-04-11,09:00,18:00,WORK
SC0126,T003,2026-04-12,09:00,18:00,WORK
SC0127,T004,2026-04-12,09:00,18:00,WORK
SC0128,T001,2026-04-13,09:00,18:00,WORK
SC0129,T002,2026-04-13,09:00,18:00,WORK
SC0130,T003,2026-04-13,09:00,18:00,WORK
SC0131,T004,2026-04-14,09:00,18:00,WORK
SC0132,T001,2026-04-14,09:00,18:00,WORK
SC0133,T002,2026-04-14,09:00,18:00,WORK
SC0134,T003,2026-04-15,09:00,18:00,WORK
SC0135,T004,2026-04-15,09:00,18:00,WORK
SC0136,T001,2026-04-15,09:00,18:00,WORK
SC0137,T002,2026-04-16,09:00,18:00,WORK
SC0138,T003,2026-04-16,09:00,18:00,WORK
SC0139,T004,2026-04-16,09:00,18:00,WORK
SC0140,T001,2026-04-17,09:00,18:00,WORK
SC0141,T002,2026-04-17,09:00,18:00,WORK
SC0142,T003,2026-04-17,09:00,18:00,WORK
SC0143,T004,2026-04-18,09:00,18:00,WORK
SC0144,T001,2026-04-18,09:00,18:00,WORK
SC0145,T002,2026-04-18,09:00,18:00,WORK
SC0146,T003,2026-04-19,09:00,18:00,WORK
SC0147,T004,2026-04-19,09:00,18:00,WORK
SC0148,T001,2026-04-20,09:00,18:00,WORK
SC0149,T002,2026-04-20,09:00,18:00,WORK
SC0150,T003,2026-04-20,09:00,18:00,WORK
SC0151,T004,2026-04-21,09:00,18:00,WORK
SC0152,T001,2026-04-21,09:00,18:00,WORK
SC0153,T002,2026-04-21,09:00,18:00,WORK
SC0154,T003,2026-04-22,09:00,18:00,WORK
SC0155,T004,2026-04-22,09:00,18:00,WORK
SC0156,T001,2026-04-22,09:00,18:00,WORK
SC0157,T002,2026-04-23,09:00,18:00,WORK
SC0158,T003,2026-04-23,09:00,18:00,WORK
SC0159,T004,2026-04-23,09:00,18:00,WORK
SC0160,T001,2026-04-24,09:00,18:00,WORK
SC0161,T002,2026-04-24,09:00,18:00,WORK
SC0162,T003,2026-04-24,09:00,18:00,WORK
SC0163,T004,2026-04-25,09:00,18:00,WORK
SC0164,T001,2026-04-25,09:00,18:00,WORK
SC0165,T002,2026-04-25,09:00,18:00,WORK
SC0166,T003,2026-04-26,09:00,18:00,WORK
SC0167,T004,2026-04-26,09:00,18:00,WORK
SC0168,T001,2026-04-27,09:00,18:00,WORK
SC0169,T002,2026-04-27,09:00,18:00,WORK
SC0170,T003,2026-04-27,09:00,18:00,WORK
SC0171,T004,2026-04-28,09:00,18:00,WORK
SC0172,T001,2026-04-28,09:00,18:00,WORK
SC0173,T002,2026-04-28,09:00,18:00,WORK
SC0174,T003,2026-04-29,09:00,18:00,WORK
SC0175,T004,2026-04-29,09:00,18:00,WORK
SC0176,T001,2026-04-29,09:00,18:00,WORK
SC0177,T002,2026-04-30,09:00,18:00,WORK
SC0178,T003,2026-04-30,09:00,18:00,WORK
SC0179,T004,2026-04-30,09:00,18:00,WORK
SC0180,T001,2026-05-01,09:00,18:00,WORK
SC0181,T002,2026-05-01,09:00,18:00,WORK
SC0182,T003,2026-05-01,09:00,18:00,WORK
SC0183,T004,2026-05-02,09:00,18:00,WORK
SC0184,T001,2026-05-02,09:00,18:00,WORK
SC0185,T002,2026-05-02,09:00,18:00,WORK
SC0186,T003,2026-05-03,09:00,18:00,WORK
SC0187,T004,2026-05-03,09:00,18:00,WORK
SC0188,T001,2026-05-03,09:00,18:00,WORK
SC0189,T001,2026-05-04,09:00,18:00,WORK
SC0190,T002,2026-05-04,09:00,18:00,WORK
SC0191,T003,2026-05-04,09:00,18:00,WORK
SC0192,T004,2026-05-05,09:00,18:00,WORK
SC0193,T001,2026-05-05,09:00,18:00,WORK
SC0194,T002,2026-05-05,09:00,18:00,WORK
SC0195,T003,2026-05-06,09:00,18:00,WORK
SC0196,T004,2026-05-06,09:00,18:00,WORK
SC0197,T001,2026-05-06,09:00,18:00,WORK
SC0198,T002,2026-05-07,09:00,18:00,WORK
SC0199,T003,2026-05-07,09:00,18:00,WORK
SC0200,T004,2026-05-07,09:00,18:00,WORK
SC0201,T001,2026-05-08,09:00,18:00,WORK
SC0202,T002,2026-05-08,09:00,18:00,WORK
SC0203,T003,2026-05-08,09:00,18:00,WORK
SC0204,T004,2026-05-09,09:00,18:00,WORK
SC0205,T001,2026-05-09,09:00,18:00,WORK
SC0206,T002,2026-05-09,09:00,18:00,WORK
SC0209,T001,2026-05-11,09:00,18:00,WORK
SC0210,T002,2026-05-11,09:00,18:00,WORK
SC0211,T003,2026-05-11,09:00,18:00,WORK
SC0212,T004,2026-05-12,09:00,18:00,WORK
SC0213,T001,2026-05-12,09:00,18:00,WORK
SC0214,T002,2026-05-12,09:00,18:00,WORK
SC0215,T003,2026-05-13,09:00,18:00,WORK
SC0216,T004,2026-05-13,09:00,18:00,WORK
SC0217,T001,2026-05-13,09:00,18:00,WORK
SC0218,T002,2026-05-14,09:00,18:00,WORK
SC0219,T003,2026-05-14,09:00,18:00,WORK
SC0220,T004,2026-05-14,09:00,18:00,WORK
SC0221,T001,2026-05-15,09:00,18:00,WORK
SC0222,T002,2026-05-15,09:00,18:00,WORK
SC0223,T003,2026-05-15,09:00,18:00,WORK
SC0224,T004,2026-05-16,09:00,18:00,WORK
SC0225,T001,2026-05-16,09:00,18:00,WORK
SC0226,T002,2026-05-16,09:00,18:00,WORK
SC0229,T001,2026-05-18,09:00,18:00,WORK
SC0230,T002,2026-05-18,09:00,18:00,WORK
SC0231,T003,2026-05-18,09:00,18:00,WORK
SC0232,T004,2026-05-19,09:00,18:00,WORK
SC0233,T001,2026-05-19,09:00,18:00,WORK
SC0234,T002,2026-05-19,09:00,18:00,WORK
SC0235,T003,2026-05-20,09:00,18:00,WORK
SC0236,T004,2026-05-20,09:00,18:00,WORK
SC0237,T001,2026-05-20,09:00,18:00,WORK
SC0238,T002,2026-05-21,09:00,18:00,WORK
SC0239,T003,2026-05-21,09:00,18:00,WORK
SC0240,T004,2026-05-21,09:00,18:00,WORK
SC0241,T001,2026-05-22,09:00,18:00,WORK
SC0242,T002,2026-05-22,09:00,18:00,WORK
SC0243,T003,2026-05-22,09:00,18:00,WORK
SC0244,T004,2026-05-23,09:00,18:00,WORK
SC0245,T001,2026-05-23,09:00,18:00,WORK
SC0246,T002,2026-05-23,09:00,18:00,WORK
SC0247,T003,2026-05-24,09:00,18:00,WORK
SC0248,T004,2026-05-24,09:00,18:00,WORK
SC0249,T001,2026-05-25,09:00,18:00,WORK
SC0250,T002,2026-05-25,09:00,18:00,WORK
SC0251,T003,2026-05-25,09:00,18:00,WORK
SC0252,T004,2026-05-26,09:00,18:00,WORK
SC0253,T001,2026-05-26,09:00,18:00,WORK
SC0254,T002,2026-05-26,09:00,18:00,WORK
SC0255,T003,2026-05-27,09:00,18:00,WORK
SC0256,T004,2026-05-27,09:00,18:00,WORK
SC0257,T001,2026-05-27,09:00,18:00,WORK
SC0258,T002,2026-05-28,09:00,18:00,WORK
SC0259,T003,2026-05-28,09:00,18:00,WORK
SC0260,T004,2026-05-28,09:00,18:00,WORK
SC0261,T001,2026-05-29,09:00,18:00,WORK
SC0262,T002,2026-05-29,09:00,18:00,WORK
SC0263,T003,2026-05-29,09:00,18:00,WORK
SC0264,T004,2026-05-30,09:00,18:00,WORK
SC0265,T001,2026-05-30,09:00,18:00,WORK
SC0266,T002,2026-05-30,09:00,18:00,WORK
SC0267,T003,2026-05-31,09:00,18:00,WORK
SC0268,T004,2026-05-31,09:00,18:00,WORK
SC001,T001,2026-05-17,09:00,18:00,WORK
SC001,T002,2026-05-17,09:00,18:00,WORK
SC001,T003,2026-05-17,09:00,18:00,WORK
SC001,T002,2026-05-10,09:00,18:00,WORK
SC001,T003,2026-05-10,09:00,18:00,WORK
SC001,T004,2026-05-10,09:00,18:00,WORK
SC001,T001,2026-05-24,09:00,18:00,DAYOFF_REQUEST
SC001,T001,2026-05-14,09:00,18:00,DAYOFF_REQUEST
SC001,T001,2026-05-10,09:00,18:00,DAYOFF_REQUEST
